GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mfaminc,TimeFrame,GeoVintage,Source,Location
Zip Code Tabulation Area,99722,AK,99722,99722,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99723,AK,99723,99723,131423,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99724,AK,99724,99724,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99725,AK,99725,99725,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99726,AK,99726,99726,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99727,AK,99727,99727,59432,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99729,AK,99729,99729,70625,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99730,AK,99730,99730,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99732,AK,99732,99732,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99733,AK,99733,99733,33438,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99734,AK,99734,99734,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99736,AK,99736,99736,55833,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99737,AK,99737,99737,95000,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99738,AK,99738,99738,53750,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99739,AK,99739,99739,40000,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99740,AK,99740,99740,71964,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99741,AK,99741,99741,66154,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99742,AK,99742,99742,46667,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99743,AK,99743,99743,170972,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99744,AK,99744,99744,120000,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99745,AK,99745,99745,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99746,AK,99746,99746,31944,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99747,AK,99747,99747,80714,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99748,AK,99748,99748,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99749,AK,99749,99749,75417,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99750,AK,99750,99750,64375,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99751,AK,99751,99751,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99752,AK,99752,99752,110625,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99753,AK,99753,99753,38500,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99754,AK,99754,99754,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99755,AK,99755,99755,93000,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99756,AK,99756,99756,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99757,AK,99757,99757,N/A,2020-2024,2020,Census,United States (Nation)
