"city_state,credit_tier,avg_income,credit_tier_encoded"
"Crossett_AR,Fair,44672.0,1"
"Danville_AR,Poor,64420.0,0"
"Dardanelle_AR,Very Good,51040.0,3"
"Decatur_AR,Good,45179.0,2"
"De Queen_AR,Fair,52522.0,1"
"Dermott_AR,Poor,27212.0,0"
"Des Arc_AR,Fair,30921.0,1"
"DeWitt_AR,Poor,47798.0,0"
"Dover_AR,Exceptional,32332.0,4"
"Dumas_AR,Poor,34787.0,0"
"Earle_AR,Fair,32197.0,1"
"East End_AR,Exceptional,87936.0,4"
"El Dorado_AR,Fair,49244.0,1"
"Elkins_AR,Good,81789.0,2"
"Elm Springs_AR,Exceptional,131739.0,4"
"England_AR,Poor,46544.0,0"
"Eudora_AR,Poor,28563.0,0"
"Eureka Springs_AR,Exceptional,38425.0,4"
"Fairfield Bay_AR,Poor,56594.0,0"
"Farmington_AR,Exceptional,90469.0,4"
"Fayetteville_AR,Poor,62695.0,0"
"Fordyce_AR,Fair,38079.0,1"
"Forrest City_AR,Poor,35689.0,0"
"Fort Smith_AR,Poor,54816.0,0"
"Gassville_AR,Fair,38750.0,1"
"Gentry_AR,Very Good,69779.0,3"
"Gibson_AR,Exceptional,66496.0,4"
"Glenwood_AR,Poor,33500.0,0"
"Goshen_AR,Exceptional,150074.0,4"
"Gosnell_AR,Fair,61130.0,1"
"Gravette_AR,Exceptional,68214.0,4"
"Greenbrier_AR,Exceptional,57214.0,4"
"Green Forest_AR,Fair,49918.0,1"
"Greenwood_AR,Good,66844.0,2"
"Gurdon_AR,Poor,47587.0,0"
"Hamburg_AR,Good,34234.0,2"
"Harrisburg_AR,Poor,48047.0,0"
"Harrison_AR,Fair,44056.0,1"
"Haskell_AR,Good,85758.0,2"
"Hazen_AR,Poor,49225.0,0"
"Heber Springs_AR,Fair,50636.0,1"
"Helena-West Helena_AR,Fair,36019.0,1"
"Highfill_AR,Exceptional,92596.0,4"
"Holiday Island_AR,Fair,53391.0,1"
