GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mfaminc,TimeFrame,GeoVintage,Source,Location
Zip Code Tabulation Area,99637,AK,99637,99637,43750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99638,AK,99638,99638,40000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99639,AK,99639,99639,75625,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99640,AK,99640,99640,33333,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99641,AK,99641,99641,43750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99643,AK,99643,99643,43250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99644,AK,99644,99644,54375,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99645,AK,99645,99645,93800,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99647,AK,99647,99647,59375,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99648,AK,99648,99648,26250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99649,AK,99649,99649,37500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99650,AK,99650,99650,30000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99651,AK,99651,99651,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99652,AK,99652,99652,67604,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99653,AK,99653,99653,87500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99654,AK,99654,99654,93743,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99655,AK,99655,99655,45500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99656,AK,99656,99656,78750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99657,AK,99657,99657,35833,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99658,AK,99658,99658,41667,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99659,AK,99659,99659,41250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99660,AK,99660,99660,64375,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99661,AK,99661,99661,82292,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99662,AK,99662,99662,28750,2015-2019,2010,Census,United States (Nation)
